"","baseMean_riborna","log2FoldChange_riborna","padj_riborna","symb","biotype","baseMean_rna","log2FoldChange_rna","padj_rna","baseMean_ribo","log2FoldChange_ribo","padj_ribo","tx_type","log10_padj_riborna","symb_deplot","nudgey","nudgex","log10_padj_riborna_flat","tx_class_IAAvsDMSO"
"ENSG00000067048.17",110957.486769048,-5.92657606475843,2.90314487583166e-79,"DDX3Y","all genes",578779.713950485,14.511142287142,0,5974.61897778059,8.58216667687734,0,"TE_down",-78.5371312910011,"DDX3Y",0.4,0.3,-15,NA
"ENSG00000215301.10",53535.8788021213,2.45507671592973,1.08181888376661e-08,"DDX3X","all genes",242282.723277402,-6.30026715644717,1.07000798307851e-69,7624.77861400105,-3.84163529676715,0,"TE_up",-7.96584544196952,"DDX3X",-0.5,0,-7.96584544196952,"TE_up"
"ENSG00000198888.2",2174.33819196535,-0.372269462807426,0.0153361829958721,"MT-ND1","all genes",5881.23360752131,0.119471750644887,0.99992116680452,813.056066320918,-0.251064857166633,0.800210888870323,"TE_down",-1.81428271796885,NA,NA,NA,-1.81428271796885,"Not_significant"
"ENSG00000198712.1",3230.80068535549,-0.402964809976214,0.0191912683901682,"MT-CO2","all genes",9046.06949804285,0.127338333202468,0.99992116680452,1168.95826474957,-0.274802684525667,0.0732479096074525,"TE_down",-1.71689632090564,NA,NA,NA,-1.71689632090564,"Not_significant"
"ENSG00000163660.11",449.204555373805,-0.62360596938795,0.612754766011696,"CCNL1","all genes",1748.87165637719,0.12156364778558,0.99992116680452,99.9742270915518,-0.514283084435268,0.999868747149118,"Not_significant",-0.212713302116634,NA,NA,NA,-0.212713302116634,"Not_significant"
"ENSG00000137309.20",2206.1247316822,-0.277067205164035,0.675664304497666,"HMGA1","all genes",4285.75700806939,0.0396977374379061,0.99992116680452,1039.22046795809,-0.237592812399713,0.596596807628143,"Not_significant",-0.170269024347456,NA,NA,NA,-0.170269024347456,"Not_significant"
"ENSG00000162736.17",266.216388485322,0.622497970906399,0.978277856732022,"NCSTN","all genes",401.780141239712,-0.0274759296910923,0.99992116680452,140.083172726683,0.60220559623233,0.618220072651797,"Not_significant",-0.00953777659594851,NA,NA,NA,-0.00953777659594851,"Not_significant"
"ENSG00000179010.14",532.18437817964,-0.561190707173875,0.978277856732022,"MRFAP1","all genes",636.802753165959,0.284790416956866,0.99992116680452,301.278208640712,-0.277969768890459,0.999868747149118,"Not_significant",-0.00953777659594851,NA,NA,NA,-0.00953777659594851,"Not_significant"
"ENSG00000000003.15",100.432537541267,-0.553070825424679,0.999930075229515,"TSPAN6","all genes",203.402828946108,0.248912744402671,0.99992116680452,46.2467218141373,-0.297440654993528,0.999868747149118,"Not_significant",-3.03690037552941e-05,NA,NA,NA,-3.03690037552941e-05,"Not_significant"
"ENSG00000000419.12",401.269243193103,0.0920763970347122,0.999930075229515,"DPM1","all genes",1147.25093457968,-0.00600684824168782,0.99992116680452,142.163253187554,0.085938763525878,0.999868747149118,"Not_significant",-3.03690037552941e-05,NA,NA,NA,-3.03690037552941e-05,"Not_significant"
