"","baseMean_riborna","log2FoldChange_riborna","padj_riborna","symb","biotype","baseMean_rna","log2FoldChange_rna","padj_rna","baseMean_ribo","log2FoldChange_ribo","padj_ribo","tx_type","log10_padj_riborna","symb_deplot","nudgey","nudgex","log10_padj_riborna_flat"
"ENSG00000067048.17",96891.9044668083,-6.00473915781053,5.52759438466931e-83,"DDX3Y","all genes",580075.381106946,14.5199938229871,0,5963.95856003151,8.51107103743124,0,"TE_down",-82.2574638330295,"DDX3Y",0.4,0.3,-15
"ENSG00000201098.1",1942.58409989168,0.965997152710705,2.74050532631157e-13,"RNY1","all genes",294.233871798807,-0.712870543221075,0.012463343815923,1158.2251239084,0.262579146236926,0.0939605933326838,"TE_up",-12.5621693495175,"RNY1",0.4,0,-12.5621693495175
"ENSG00000215301.10",49468.4654665161,1.80699733918991,7.11365385955863e-09,"DDX3X","all genes",245458.709244476,-5.59345315116004,2.6631886647615e-60,7703.06744589481,-3.78690341982216,0,"TE_up",-8.14790727079783,"DDX3X",-0.5,0,-8.14790727079783
"ENSG00000198888.2",2216.64102965966,-0.388252589620654,0.00336542016862981,"MT-ND1","all genes",5877.22068318798,0.128739134656773,0.99992408498771,814.095848611467,-0.259551350012396,0.378643278241496,"TE_down",-2.47296070691522,NA,NA,NA,-2.47296070691522
"ENSG00000198712.1",3275.57795790968,-0.419121960249933,0.00348414990151531,"MT-CO2","all genes",9039.50871919123,0.136315643782199,0.99992408498771,1170.48135149805,-0.283209049416747,0.0328394197025929,"TE_down",-2.45790316824519,NA,NA,NA,-2.45790316824519
"ENSG00000211459.2",81994.8712083764,-0.304996929598998,0.00348414990151531,"MT-RNR1","all genes",329665.630384189,-0.103809669242588,0.99992408498771,19834.6120064206,-0.409659531803668,1.15920827061969e-10,"TE_down",-2.45790316824519,NA,NA,NA,-2.45790316824519
"ENSG00000259001.3",30717.5263759084,-0.570078115299073,0.00348414990151531,"AL355075.4","all genes",167571.46756581,-0.0287219859962993,0.99992408498771,3395.36942186917,-0.599676193107121,6.80409667244275e-22,"TE_down",-2.45790316824519,"AL355075.4",-0.5,-0.4,-2.45790316824519
"ENSG00000277209.1",30717.5263759084,-0.570078115299073,0.00348414990151531,"RPPH1","all genes",167571.46756581,-0.0287219859962993,0.99992408498771,3395.36942186917,-0.599676193107121,6.80409667244275e-22,"TE_down",-2.45790316824519,"RPPH1",-0.5,-0.4,-2.45790316824519
"ENSG00000209082.1",18842.1561535717,-0.561761521059815,0.0112574194938109,"MT-TL1","all genes",1431.99550977434,0.114260408625286,0.99992408498771,11364.6390908998,-0.4480192025719,0.0553703229288495,"TE_down",-1.94856115016283,NA,NA,NA,-1.94856115016283
"ENSG00000181222.17",2920.47892794288,0.36753955092927,0.0363994234220316,"POLR2A","all genes",2375.22662604226,-0.35791691882796,0.00138529366236761,1564.17151343374,0.00751033368513644,0.999476973742387,"TE_up",-1.43890549565351,"POLR2A",0.4,0,-1.43890549565351
