"","baseMean_riborna","log2FoldChange_riborna","padj_riborna","symb","biotype","baseMean_rna","log2FoldChange_rna","padj_rna","baseMean_ribo","log2FoldChange_ribo","padj_ribo","tx_type","log10_padj_riborna","symb_deplot","nudgey","nudgex","five_cds_iaa_dmso","five_cds_IAA3Y_IAA3XWT","Tx_class"
"ENSG00000065000.18",1312.93118143001,-1.57117551025354,6.20140154307899e-24,"AP3D1","all genes",3508.14264995477,1.11850132206429,4.27035179802958e-31,449.156840803609,-0.445564254808566,0.0147410398501397,"TE_down",-23.2075101470118,NA,NA,NA,0.379526784007643,0.841231856921689,"TE_down"
"ENSG00000005486.17",339.68623205169,-2.44086695456869,1.19686156649317e-23,"RHBDD2","all genes",969.27035785632,1.23951142234003,1.60174118465632e-25,101.181792185489,-1.19373323513479,0.00079194245072296,"TE_down",-22.9219560788207,"RHBDD2",-0.5,0.3,0.485355791910808,-0.56743067344842,"TE_down"
"ENSG00000171603.18",1041.31671938299,-1.55246387600022,3.78515629564501e-21,"CLSTN1","all genes",1677.12007717873,0.64822191001323,1.01599288194108e-07,624.701832913053,-0.897382789214831,1.58100835802019e-14,"TE_down",-20.4219161830239,NA,NA,NA,0.358904645436972,-0.169995080700469,"TE_down"
"ENSG00000061676.15",1610.25677247115,-1.20128295138283,6.9924594604212e-18,"NCKAP1","all genes",4532.35621302066,0.428077671999254,2.54299704893744e-06,495.140949541117,-0.766289209250836,1.36061765222056e-08,"TE_down",-17.1553700428208,NA,NA,NA,0.546441987216494,-0.338886469678376,"TE_down"
"ENSG00000163946.13",719.923150325647,-1.72982850627166,5.35168770459515e-17,"TASOR","all genes",2405.38860820485,0.852066939298432,1.38292764801362e-18,129.220437584959,-0.870157763797857,0.00988019043593864,"TE_down",-16.2715092375661,NA,NA,NA,0.539500587723302,0.526243800453161,"TE_down"
"ENSG00000126777.18",1810.24954452638,-1.31488822264828,2.07012524317929e-15,"KTN1","all genes",6204.18773587849,0.591660241374625,1.43103711096514e-10,287.242970595897,-0.714302981769885,0.000438747971863599,"TE_down",-14.6840033788058,NA,NA,NA,0.655067831858809,-0.70017966479232,"TE_down"
"ENSG00000115758.13",1662.98860537891,-1.52964336984969,4.39634323160442e-15,"ODC1","all genes",6167.14942173598,0.0441462194233166,0.828157494523888,150.363314235868,-1.47866125265801,7.87856487616283e-09,"TE_down",-14.3569084086569,"ODC1",-0.5,0.3,0.769961554266594,0.771940443113052,"TE_down"
"ENSG00000174437.17",1710.64221332286,-1.14532992207601,9.77566846269234e-15,"ATP2A2","all genes",3126.24328316019,0.133192912275524,0.450826975889973,936.159344423873,-1.00517732006099,5.04178935570038e-28,"TE_down",-14.0098535357497,NA,NA,NA,0.737559109560299,-0.211282919598749,"TE_down"
"ENSG00000100106.22",775.920491153949,-1.45264655072289,2.95258226075798e-14,"TRIOBP","all genes",2289.73660881635,0.666563227078442,6.66353402761781e-11,212.84063707391,-0.781330388372419,0.00150638662428137,"TE_down",-13.5297979938345,NA,NA,NA,0.402690002087673,0.115194737533272,"TE_down"
"ENSG00000176105.14",743.554219917638,-1.62631918868875,8.87936231433492e-14,"YES1","all genes",2496.71590878745,0.454016149549002,2.08322302898881e-05,130.497659675491,-1.16945611398114,8.87166745614889e-05,"TE_down",-13.0516182226572,NA,NA,NA,-0.022602074168897,0.860584633054848,"TE_down"
