"","baseMean_riborna","log2FoldChange_riborna","padj_riborna","symb","biotype","baseMean_rna","log2FoldChange_rna","padj_rna","baseMean_ribo","log2FoldChange_ribo","padj_ribo","tx_type","log10_padj_riborna","symb_deplot","nudgey","nudgex"
"ENSG00000202198.1",33968.9716181539,1.26035951480052,5.09229205157284e-32,"AL162581.1","all genes",166735.662837223,-0.15046886661365,0.058893633901456,319.836103251866,1.12896949002505,2.165637935483e-15,"TE_up",-31.2930866967801,NA,NA,0
"ENSG00000283293.1",33968.9716181539,1.26035951480052,5.09229205157284e-32,"RN7SK","all genes",166735.662837223,-0.15046886661365,0.058893633901456,319.836103251866,1.12896949002505,2.165637935483e-15,"TE_up",-31.2930866967801,NA,NA,0
"ENSG00000005486.17",432.383840289927,-2.4190362914427,6.32480070895411e-27,"RHBDD2","all genes",1516.41990649337,1.20796495978743,6.69007113944676e-33,103.227104975531,-1.19617734965418,5.89622838371889e-05,"TE_down",-26.1989531543205,"RHBDD2",-0.5,0.3
"ENSG00000065000.18",1495.76498930102,-1.53494040506286,7.66197977607974e-26,"AP3D1","all genes",4516.91479241798,1.06437089732011,2.44454054046714e-34,477.210441001187,-0.456083964037746,0.00120677226299741,"TE_down",-25.1156589986788,NA,NA,NA
"ENSG00000061676.15",1773.9624718695,-1.13002860567171,1.27838455450166e-25,"NCKAP1","all genes",5344.73867730942,0.398009490849886,5.82721189802992e-07,568.281746645899,-0.717590233487924,3.43728169312085e-11,"TE_down",-24.8933384851634,NA,NA,NA
"ENSG00000183864.5",755.942199871906,-1.70164700679049,6.96204580714793e-25,"TOB2","all genes",2031.82876802243,1.20922592840268,3.68117228638606e-35,282.373503097385,-0.478226334884522,0.019125852009413,"TE_down",-24.1572631235789,NA,NA,NA
"ENSG00000171603.18",1269.50177324726,-1.57296685018057,9.57206933869355e-21,"CLSTN1","all genes",2250.08105835282,0.643531931930926,8.25849406966657e-09,665.030199182426,-0.914632519282585,1.3898372553415e-20,"TE_down",-20.0189941640804,NA,NA,NA
"ENSG00000163946.13",714.931529131096,-1.66157753561386,1.4415173040373e-18,"TASOR","all genes",2628.39254155716,0.828878016050447,3.41044598261341e-20,150.970800041003,-0.817991340599933,0.00136717126238662,"TE_down",-17.8411801399544,NA,NA,NA
"ENSG00000176105.14",1247.9462183846,-1.59042627933328,1.4415173040373e-18,"YES1","all genes",5244.52137617335,0.435266893089466,1.23570848066879e-07,155.927936533737,-1.14475010372883,7.2645911125192e-07,"TE_down",-17.8411801399544,NA,NA,NA
"ENSG00000126777.18",1728.55463554886,-1.27907761453974,1.27251618407357e-17,"KTN1","all genes",6739.12864182482,0.556748446298584,5.62569961665028e-12,302.239741915434,-0.706189929312681,2.85239677231408e-05,"TE_down",-16.8953366855263,NA,NA,NA
