"","baseMean_riborna","log2FoldChange_riborna","padj_riborna","symb","biotype","baseMean_rna","log2FoldChange_rna","padj_rna","baseMean_ribo","log2FoldChange_ribo","padj_ribo","tx_type","log10_padj_riborna","symb_deplot","nudgey","nudgex","log2FCTE"
"ENSG00000168268.11",4563.4570056581,-1.80039234632006,1.31359062358296e-27,"NT5DC2","all genes",18100.5424815877,0.34125011977258,0.00150272880687429,855.989437275227,-1.4611310334071,2.50214089551391e-18,"TE_down",-26.88153996021,"NT5DC2",-0.5,0.3,-1.80238115317968
"ENSG00000063245.14",5106.60289264267,-1.48977267884815,8.45806445909331e-18,"EPN1","all genes",20829.1454722815,0.475754202425476,1.07686208943824e-08,873.024701776926,-1.01817317110434,6.61542742619112e-07,"TE_down",-17.0727290094088,NA,NA,NA,-1.49392737352982
"ENSG00000115758.13",6254.88991030098,-1.49597279058858,8.45806445909331e-18,"ODC1","all genes",20087.5272947675,0.00551215772866224,0.983525471492745,1870.58104408236,-1.49303674169833,2.63185761169761e-24,"TE_down",-17.0727290094088,"ODC1",0.5,0.3,-1.49854889942699
"ENSG00000107404.20",3209.42570877333,-1.64023346169524,2.71537530040279e-16,"DVL1","all genes",14570.6979203984,0.623007022345502,1.31142271921985e-15,330.088527954004,-1.0230433931424,0.000652271832524261,"TE_down",-15.5661701367456,"DVL1",-0.5,0.3,-1.64605041548791
"ENSG00000165724.6",2844.78534861491,-1.35439721411506,3.04871526386284e-16,"ZMYND19","all genes",10711.2607706734,0.465415304766072,9.57040780389861e-07,617.214328650207,-0.892179932964065,3.41590941501278e-05,"TE_down",-15.5158831348696,NA,NA,NA,-1.35759523773014
"ENSG00000182979.18",8477.0079524613,-0.907087083261815,1.14229363379579e-12,"MTA1","all genes",28878.7638538638,0.383946057201319,4.98207398583815e-06,2285.21107989771,-0.52663417313756,0.00509484905907285,"TE_down",-11.9422222435985,NA,NA,NA,-0.910580230338879
"ENSG00000152767.17",4224.6532455826,-1.11233400251417,1.76741459754055e-12,"FARP1","all genes",15661.5258128708,0.37569784593148,7.56854354210259e-06,952.669036967948,-0.740076053703396,0.00043042315906699,"TE_down",-11.7526615623757,NA,NA,NA,-1.11577389963488
"ENSG00000176946.12",3854.4885111924,-1.22324664383174,1.76741459754055e-12,"THAP4","all genes",15996.5339921184,0.591630985533408,2.30825256446305e-14,617.222186907944,-0.636031550264707,0.0168144371473988,"TE_down",-11.7526615623757,NA,NA,NA,-1.22766253579812
"ENSG00000163781.14",3407.68726406943,-1.23522837493789,1.22405280674788e-11,"TOPBP1","all genes",10404.8458272323,0.396998554897428,1.26982827542048e-05,1095.56073258554,-0.84092969109656,1.90430540802742e-05,"TE_down",-10.9121998459286,NA,NA,NA,-1.23792824599399
"ENSG00000108262.15",2865.96456249134,-1.11554835803945,1.45256060137526e-11,"GIT1","all genes",11055.2450783642,0.238707903833933,0.0234092588284969,583.343923397677,-0.879770030376335,4.75555142620776e-05,"TE_down",-10.8378657396303,NA,NA,NA,-1.11847793421027
"ENSG00000165914.15",1999.38080186294,-1.21796573656962,2.52576738197594e-11,"TTC7B","all genes",8073.9346615183,0.220482351995043,0.0594466981595142,354.028129387901,-1.0002294288774,6.28267737672363e-05,"TE_down",-10.5976066495749,NA,NA,NA,-1.22071178087244
"ENSG00000084693.16",1936.44517115027,-1.45431230310881,4.54975392693117e-11,"AGBL5","all genes",8595.59588103327,0.763638662020205,2.08976270346464e-13,227.078389028037,-0.693470134829346,0.0591806074908794,"TE_down",-10.3420120914892,NA,NA,NA,-1.45710879684955
"ENSG00000103495.14",20317.9980196721,-0.82035355485936,2.55988954884356e-10,"MAZ","all genes",74389.622632581,0.43191095468573,2.62403459959347e-08,4715.29070174369,-0.391737860335567,0.0586918236256922,"TE_down",-9.59177877272041,NA,NA,NA,-0.823648815021297
"ENSG00000148730.7",3060.59324824551,-1.31487293587712,2.55988954884356e-10,"EIF4EBP2","all genes",14380.6987551894,0.301031696035062,0.00415108426211696,243.900882992472,-1.01816888606246,0.00122328343689755,"TE_down",-9.59177877272041,NA,NA,NA,-1.31920058209753
"ENSG00000123143.12",7875.33288628519,-0.891243787090733,5.19583571041213e-10,"PKN1","all genes",31137.3037803812,0.54881525590968,3.33827953115407e-13,1487.89887957073,-0.345954755654329,0.211204975579341,"TE_down",-9.28434458954463,NA,NA,NA,-0.89477001156401
"ENSG00000120137.7",4780.41406514307,-1.37269569015381,7.6491543315707e-10,"PANK3","all genes",21840.9152131681,0.219729352440804,0.0730569341339566,472.5897799625,-1.15591228666448,7.9762948504244e-07,"TE_down",-9.11638657653707,NA,NA,NA,-1.37564163910528
"ENSG00000168118.12",2604.07938900072,-0.903437777136279,1.15348221636305e-09,"RAB4A","all genes",9295.45048260939,0.265256479757306,0.00575018251779555,639.987725345202,-0.641633515482186,0.00630943716601071,"TE_down",-8.93798909676051,NA,NA,NA,-0.906889995239492
"ENSG00000101412.13",2463.78153613253,-1.10722082298479,7.58156564509492e-09,"E2F1","all genes",11017.7421374856,0.49154539161121,3.34142635790382e-09,278.058816995401,-0.619543712390484,0.0959181749600486,"TE_down",-8.12024110032926,NA,NA,NA,-1.11108910400169
"ENSG00000147676.14",728.88830325982,-1.68977980289931,4.12209077272689e-08,"MAL2","all genes",3325.92650344061,0.11904724112158,0.471225607078448,73.0417401671022,-1.57196776171556,0.00370810596413729,"TE_down",-7.38488244883523,"MAL2",-0.5,0.3,-1.69101500283714
"ENSG00000077044.10",1853.92092169905,-1.04755997160133,5.4497807707258e-08,"DGKD","all genes",7920.84946998874,0.371093296135731,7.60657360865982e-05,263.983681400356,-0.679421087911462,0.051669527494738,"TE_down",-7.26362096781126,NA,NA,NA,-1.05051438404719
"ENSG00000165650.12",2593.46498105844,-0.858727043073937,7.96953303888656e-08,"PDZD8","all genes",8894.59953499355,0.252369196735314,0.00884493272712391,690.555478895927,-0.609398591014471,0.00984625735430436,"TE_down",-7.09856712459837,NA,NA,NA,-0.861767787749785
"ENSG00000107263.18",3448.21401620272,-0.827593916781188,2.06399984061501e-07,"RAPGEF1","all genes",14824.2172530216,0.53605186331141,8.40829633789094e-11,475.998843205415,-0.294381783086916,0.478088324032716,"TE_down",-6.68529034058166,NA,NA,NA,-0.830433646398327
"ENSG00000072071.16",2732.53211275508,-1.15585872643751,2.64049365065241e-07,"ADGRL1","all genes",11241.0910606284,0.36873395933646,0.000160691332571076,452.994284873188,-0.791653517444885,0.00496180356818022,"TE_down",-6.57831487248147,NA,NA,NA,-1.16038747678134
"ENSG00000103260.9",701.087782635448,-1.64428435553133,3.58389922038273e-07,"METRN","all genes",3256.21103802075,0.277513059581031,0.0294422244252378,61.7733978096136,-1.37972394806491,0.0311903209202185,"TE_down",-6.44564421124402,NA,NA,NA,-1.65723700764594
"ENSG00000179314.14",1317.80687163885,-1.1876294521774,3.58389922038273e-07,"WSCD1","all genes",5775.11522892644,0.498250603212575,3.5632279250581e-08,166.050435415509,-0.691987236627157,0.150956649908984,"TE_down",-6.44564421124402,NA,NA,NA,-1.19023783983973
"ENSG00000087460.25",37030.7070048144,-0.545933438815362,3.607397225175e-07,"GNAS","all genes",82906.3000834151,0.248111842844098,0.00466193837339002,16331.9928698299,-0.300862775967763,0.145216401002542,"TE_down",-6.4428060331174,NA,NA,NA,-0.548974618811861
"ENSG00000128266.9",1056.56812337523,-1.11129934606069,4.87671367156687e-07,"GNAZ","all genes",4256.48107988847,0.253889388954724,0.0184019706640102,188.527598188721,-0.859966990576462,0.0223773503289323,"TE_down",-6.31187274256488,NA,NA,NA,-1.11385637953119
"ENSG00000160767.21",4180.96979178093,-1.2350153278194,4.87671367156687e-07,"FAM189B","all genes",17711.0197178466,0.50675217937577,1.79554512595042e-07,617.619024370127,-0.732037513609177,0.00936289856755716,"TE_down",-6.31187274256488,NA,NA,NA,-1.23878969298495
"ENSG00000165209.19",2161.22370270409,-0.796128575716658,7.09027823529786e-07,"STRBP","all genes",4924.81725868296,0.558675108336715,1.38489820368376e-09,940.016471428306,-0.240950043145129,0.514920851104696,"TE_down",-6.14933672198427,NA,NA,NA,-0.799625151481844
"ENSG00000183576.13",2355.83842134105,-1.02938229408383,9.61307751842902e-07,"SETD3","all genes",6651.17891650371,0.429134054824879,5.73218977695591e-05,836.589916853281,-0.602745957694103,0.00992731822744594,"TE_down",-6.01713755558762,NA,NA,NA,-1.03188001251898
"ENSG00000137819.14",1261.05385749679,-1.20163698450462,1.44802765867642e-06,"PAQR5","all genes",5645.24543003861,0.156168877284329,0.266042863434676,142.036448200582,-1.04560317877592,0.0100124975158376,"TE_down",-5.83922314263071,NA,NA,NA,-1.20177205606025
"ENSG00000162889.10",1660.62053956412,-0.981198607425598,1.8735350038765e-06,"MAPKAPK2","all genes",6331.04106614295,0.574663068737272,1.27110523703296e-08,347.992749565079,-0.409192422983203,0.309814951284146,"TE_down",-5.72733818842639,NA,NA,NA,-0.983855491720475
"ENSG00000196498.13",3735.02967651867,-0.996282580941229,2.23877372645012e-06,"NCOR2","all genes",11956.1963723956,0.77997574565834,1.98351397481485e-13,1118.29427113952,-0.220520750830513,0.568398892366169,"TE_down",-5.64998979847993,NA,NA,NA,-1.00049649648885
"ENSG00000126261.13",22107.2071986119,-0.649848891340517,2.54038999064621e-06,"UBA2","all genes",57700.2116707691,0.144684269693524,0.159332091435427,8548.35741654622,-0.508391108014071,0.00252706037526389,"TE_down",-5.59509960708699,NA,NA,NA,-0.653075377707595
"ENSG00000005486.17",1351.05957331744,-1.08626377851712,7.87463349402237e-06,"RHBDD2","all genes",4873.38691714042,0.30096616948771,0.00444533106296397,324.768244588436,-0.789697934234678,0.013842626687489,"TE_down",-5.10376965026569,NA,NA,NA,-1.09066410372239
"ENSG00000163904.13",1674.41585619998,-0.838470354923774,8.13182454793812e-06,"SENP2","all genes",6372.74658941869,0.462366858474249,3.02515150600138e-07,352.668324082427,-0.377930101487974,0.368484024714957,"TE_down",-5.0898120002608,NA,NA,NA,-0.840296959962223
"ENSG00000162437.14",1957.75376580356,-0.764623570132861,1.12122281892165e-05,"RAVER2","all genes",5886.4726806307,0.191693880669815,0.102322170199807,643.09011876096,-0.575881842164736,0.0182223411321354,"TE_down",-4.95030807213998,NA,NA,NA,-0.767575722834551
"ENSG00000072803.17",2714.13979773916,-0.764289568039234,1.67407067457786e-05,"FBXW11","all genes",9489.04334135396,-0.129806421168778,0.276853475565773,697.606642193325,-0.896398914287718,1.61424963553997e-05,"TE_down",-4.77622621125837,NA,NA,NA,-0.76659249311894
"ENSG00000100241.21",5454.23532628701,-0.979377301865569,1.67407067457786e-05,"SBF1","all genes",22563.6222285469,0.316386431691508,0.00053865576502613,885.831927925356,-0.666580345819936,0.00936289856755716,"TE_down",-4.77622621125837,NA,NA,NA,-0.982966777511444
